GameID,Gender,Season,DayNum,GameType,isRegularSeason,isTourney,HasBoxscore,WTeamID,LTeamID,WScore,LScore,ScoreDiff,TotalScore,WLoc,NeutralSite,WHome,WAway,LHome,LAway,NumOT,WSeed,WSeedNum,WSeedRegion,LSeed,LSeedNum,LSeedRegion,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,_row_order
W_2010_11_3135_3344,W,2010,11,RegularSeason,1,0,1,3344,3135,83,50,33,133,A,0,0,1,1,0,0,,,,,,,32,67,9,22,10,14,16,25,13,12,8,3,18,16,50,6,18,12,18,12,23,9,19,5,1,22,19
W_2010_11_3138_3310,W,2010,11,RegularSeason,1,0,1,3138,3310,87,79,8,166,A,0,0,1,1,0,1,,,,,,,26,56,9,21,26,43,16,34,16,28,15,3,15,30,85,12,31,7,14,24,22,19,21,11,1,28,20
W_2010_11_3140_3430,W,2010,11,RegularSeason,1,0,1,3140,3430,73,51,22,124,H,0,1,0,0,1,0,,,,,,,29,74,9,30,6,13,26,20,21,14,12,4,25,15,41,1,11,20,23,8,24,4,22,2,1,15,21
W_2010_11_3141_3177,W,2010,11,RegularSeason,1,0,1,3177,3141,86,76,10,162,H,0,1,0,0,1,0,Z11,11.0,Z,,,,33,76,3,21,17,18,23,26,21,19,13,3,18,24,59,12,30,16,21,11,20,11,23,7,0,19,22
W_2010_11_3142_3333,W,2010,11,RegularSeason,1,0,1,3333,3142,71,61,10,132,H,0,1,0,0,1,0,,,,,,,27,51,2,9,15,32,18,22,15,20,8,4,12,25,59,4,18,7,8,12,16,14,19,8,4,25,23
W_2010_11_3144_3459,W,2010,11,RegularSeason,1,0,1,3144,3459,80,78,2,158,H,0,1,0,0,1,0,,,,,,,29,51,5,14,17,33,14,19,12,24,9,2,18,27,62,8,25,16,20,17,16,16,15,5,4,33,24
W_2010_11_3147_3256,W,2010,11,RegularSeason,1,0,1,3256,3147,88,41,47,129,H,0,1,0,0,1,0,W14,14.0,W,,,,37,66,4,12,10,24,15,26,23,11,15,3,15,15,58,3,20,8,10,18,21,6,28,4,4,24,25
W_2010_11_3148_3263,W,2010,11,RegularSeason,1,0,1,3263,3148,61,58,3,119,H,0,1,0,0,1,0,,,,,,,21,52,3,9,16,23,12,26,15,22,6,4,23,19,57,6,16,14,22,15,24,10,22,9,1,22,26
W_2010_11_3150_3187,W,2010,11,RegularSeason,1,0,1,3187,3150,84,61,23,145,H,0,1,0,0,1,0,,,,,,,31,68,7,16,15,25,20,29,16,22,7,4,26,19,58,3,15,20,33,16,24,10,25,9,4,26,27
W_2010_11_3151_3190,W,2010,11,RegularSeason,1,0,1,3190,3151,85,61,24,146,H,0,1,0,0,1,0,Z14,14.0,Z,Z13,13.0,Z,32,72,10,20,11,16,13,35,12,14,9,2,21,22,64,4,18,13,24,14,32,11,17,8,3,15,28
W_2010_11_3155_3202,W,2010,11,RegularSeason,1,0,1,3155,3202,68,48,20,116,H,0,1,0,0,1,0,,,,,,,29,85,1,13,9,13,29,27,20,18,19,11,17,16,55,3,11,13,19,13,31,6,28,9,7,15,29
W_2010_11_3156_3325,W,2010,11,RegularSeason,1,0,1,3156,3325,56,34,22,90,H,0,1,0,0,1,0,Y15,15.0,Y,,,,24,65,2,13,6,10,21,23,17,15,11,2,17,13,44,2,12,6,15,12,22,5,25,9,4,14,30
W_2010_11_3158_3314,W,2010,11,RegularSeason,1,0,1,3314,3158,88,57,31,145,H,0,1,0,0,1,0,Z10,10.0,Z,,,,27,74,5,15,29,47,24,31,16,20,9,10,17,21,64,5,26,10,16,13,31,10,31,10,2,30,31
W_2010_11_3161_3285,W,2010,11,RegularSeason,1,0,1,3161,3285,72,64,8,136,H,0,1,0,0,1,0,,,,,,,23,54,4,13,22,33,16,30,12,21,8,2,23,22,57,2,10,18,24,11,26,9,18,10,4,25,32
W_2010_11_3162_3357,W,2010,11,RegularSeason,1,0,1,3162,3357,79,55,24,134,H,0,1,0,0,1,0,,,,,,,33,57,7,18,6,7,10,20,15,14,8,3,21,21,45,2,8,11,18,9,15,14,18,5,4,14,33
W_2010_11_3165_3182,W,2010,11,RegularSeason,1,0,1,3182,3165,74,69,5,143,A,0,0,1,1,0,0,,,,,,,28,56,2,11,16,23,15,23,16,19,9,4,18,23,58,11,22,12,19,16,19,16,20,5,2,19,34
W_2010_11_3167_3286,W,2010,11,RegularSeason,1,0,1,3286,3167,78,76,2,154,A,0,0,1,1,0,0,,,,,,,27,62,6,14,18,20,12,36,8,29,7,11,19,29,79,5,17,13,17,17,25,9,18,9,2,19,35
W_2010_11_3168_3363,W,2010,11,RegularSeason,1,0,1,3168,3363,79,77,2,156,A,0,0,1,1,0,0,,,,,,,26,61,7,15,20,26,13,14,11,15,9,2,21,29,60,3,8,16,23,13,22,14,18,6,3,24,36
W_2010_11_3169_3308,W,2010,11,RegularSeason,1,0,1,3308,3169,79,72,7,151,A,0,0,1,1,0,0,,,,,,,21,53,9,23,28,37,14,24,16,25,14,2,30,20,55,2,9,30,37,13,23,16,23,9,2,25,37
W_2010_11_3172_3304,W,2010,11,RegularSeason,1,0,1,3304,3172,86,62,24,148,H,0,1,0,0,1,0,Y01,1.0,Y,,,,26,57,8,21,26,42,16,28,13,25,9,6,26,22,54,0,3,18,29,8,24,9,25,10,5,33,38
W_2010_11_3173_3277,W,2010,11,RegularSeason,1,0,1,3173,3277,77,74,3,151,H,0,1,0,0,1,0,X08,8.0,X,Y05,5.0,Y,26,65,8,22,17,33,19,31,14,22,11,7,22,26,68,5,18,17,26,17,28,16,22,7,9,29,39
W_2010_11_3176_3461,W,2010,11,RegularSeason,1,0,1,3461,3176,65,62,3,127,A,0,0,1,1,0,0,,,,,,,27,69,2,12,9,10,15,27,8,9,7,3,14,23,56,7,17,9,17,12,28,12,14,2,5,13,40
W_2010_11_3178_3324,W,2010,11,RegularSeason,1,0,1,3178,3324,74,65,9,139,A,0,0,1,1,0,0,,,,,,,25,54,6,12,18,24,8,34,16,20,4,0,15,25,70,3,17,12,17,13,23,20,14,9,1,22,41
W_2010_11_3179_3282,W,2010,11,RegularSeason,1,0,1,3282,3179,70,68,2,138,H,0,1,0,0,1,0,,,,,,,27,54,8,15,8,13,7,23,13,18,4,7,28,21,56,3,7,23,34,16,24,10,15,8,0,13,42
W_2010_11_3180_3336,W,2010,11,RegularSeason,1,0,1,3336,3180,71,61,10,132,A,0,0,1,1,0,0,,,,,,,24,53,3,11,20,26,16,30,13,22,7,5,18,23,64,3,22,12,19,14,17,12,14,9,1,22,43
W_2010_11_3181_3223,W,2010,11,RegularSeason,1,0,1,3181,3223,104,35,69,139,A,0,0,1,1,0,0,X02,2.0,X,,,,44,79,1,12,15,23,26,36,21,23,26,11,24,10,49,1,13,14,27,12,13,4,33,8,1,19,44
W_2010_11_3183_3326,W,2010,11,RegularSeason,1,0,1,3326,3183,91,68,23,159,H,0,1,0,0,1,0,W02,2.0,W,,,,33,75,6,22,19,23,20,39,18,13,7,0,15,26,65,9,28,7,16,6,25,14,11,7,0,18,45
W_2010_11_3185_3227,W,2010,11,RegularSeason,1,0,1,3185,3227,61,49,12,110,A,0,0,1,1,0,0,,,,,,,21,58,7,12,12,18,18,30,14,18,8,2,16,20,66,2,9,7,11,18,24,12,19,7,6,18,46
W_2010_11_3188_3287,W,2010,11,RegularSeason,1,0,1,3188,3287,67,64,3,131,H,0,1,0,0,1,0,,,,,,,24,63,3,16,16,22,19,27,12,21,14,4,17,23,68,10,25,8,14,23,24,9,22,13,0,20,47
W_2010_11_3189_3464,W,2010,11,RegularSeason,1,0,1,3189,3464,86,66,20,152,H,0,1,0,0,1,0,,,,,,,33,56,5,12,15,20,5,40,18,28,6,5,16,27,75,6,18,6,13,11,19,12,13,10,2,18,48
W_2010_11_3191_3454,W,2010,11,RegularSeason,1,0,1,3454,3191,77,68,9,145,A,0,0,1,1,0,0,,,,,,,27,53,4,16,19,22,10,36,15,25,6,4,20,25,77,6,24,12,23,21,18,12,11,15,1,19,49
W_2010_11_3192_3393,W,2010,11,RegularSeason,1,0,1,3393,3192,65,45,20,110,H,0,1,0,0,1,0,,,,,,,27,67,4,16,7,13,17,36,17,21,8,4,11,17,62,6,27,5,7,11,27,13,23,3,2,15,50
W_2010_11_3195_3431,W,2010,11,RegularSeason,1,0,1,3195,3431,66,54,12,120,H,0,1,0,0,1,0,,,,,,,18,50,11,31,19,26,12,18,18,12,9,1,20,20,50,5,14,9,19,19,24,10,24,4,6,25,51
W_2010_11_3197_3378,W,2010,11,RegularSeason,1,0,1,3197,3378,73,68,5,141,A,0,0,1,1,0,1,,,,,,,24,73,7,20,18,27,13,36,14,24,18,4,20,25,79,5,19,13,22,23,40,17,27,14,6,22,52
W_2010_11_3198_3301,W,2010,11,RegularSeason,1,0,1,3301,3198,87,71,16,158,H,0,1,0,0,1,0,Y09,9.0,Y,,,,29,59,4,11,25,30,10,24,19,14,16,2,18,25,51,13,23,8,13,7,23,15,27,5,5,21,53
W_2010_11_3199_3316,W,2010,11,RegularSeason,1,0,1,3199,3316,79,50,29,129,H,0,1,0,0,1,0,W03,3.0,W,,,,30,64,5,14,14,21,19,29,21,23,13,5,17,17,49,9,21,7,12,5,18,12,28,5,0,19,54
W_2010_11_3201_3364,W,2010,11,RegularSeason,1,0,1,3201,3364,84,76,8,160,A,0,0,1,1,0,0,X13,13.0,X,,,,26,64,10,25,22,30,19,16,12,16,11,1,18,31,55,4,15,10,16,11,24,14,21,3,6,20,55
W_2010_11_3205_3222,W,2010,11,RegularSeason,1,0,1,3222,3205,86,64,22,150,A,0,0,1,1,0,0,,,,,,,30,64,7,16,19,34,13,34,12,14,10,4,21,21,67,5,20,17,26,18,26,7,19,7,6,22,56
W_2010_11_3206_3313,W,2010,11,RegularSeason,1,0,1,3206,3313,66,49,17,115,H,0,1,0,0,1,0,,,,,,,27,61,4,8,8,13,10,26,15,18,11,7,10,19,57,3,10,8,12,14,26,10,24,8,3,17,57
W_2010_11_3210_3457,W,2010,11,RegularSeason,1,0,1,3210,3457,63,30,33,93,H,0,1,0,0,1,0,Y06,6.0,Y,,,,27,61,2,7,7,15,20,27,15,16,17,4,17,10,47,4,19,6,16,17,17,6,27,2,7,13,58
W_2010_11_3211_3355,W,2010,11,RegularSeason,1,0,1,3355,3211,75,71,4,146,H,0,1,0,0,1,1,Y14,14.0,Y,Z07,7.0,Z,23,61,6,24,23,35,17,29,18,27,13,3,20,26,61,4,11,15,24,10,25,14,30,18,5,28,59
W_2010_11_3219_3298,W,2010,11,RegularSeason,1,0,1,3298,3219,70,67,3,137,A,0,0,1,1,0,1,,,,,,,26,63,7,19,11,19,11,26,7,21,9,0,20,24,59,4,12,15,24,13,31,11,23,11,1,21,60
W_2010_11_3221_3463,W,2010,11,RegularSeason,1,0,1,3463,3221,66,60,6,126,H,0,1,0,0,1,0,,,,,,,20,60,2,15,24,34,22,32,9,24,10,4,14,24,70,6,17,6,7,16,25,17,23,10,4,25,61
W_2010_11_3226_3388,W,2010,11,RegularSeason,1,0,1,3388,3226,76,69,7,145,H,0,1,0,0,1,0,,,,,,,25,62,5,14,21,33,21,34,14,28,8,12,19,24,68,10,22,11,20,14,21,14,20,13,2,23,62
W_2010_11_3228_3396,W,2010,11,RegularSeason,1,0,1,3396,3228,82,78,4,160,H,0,1,0,0,1,1,W08,8.0,W,,,,26,70,8,29,22,41,20,23,17,15,17,1,18,30,60,7,17,11,18,13,31,16,28,10,6,27,63
W_2010_11_3231_3272,W,2010,11,RegularSeason,1,0,1,3231,3272,78,74,4,152,A,0,0,1,1,0,0,,,,,,,31,61,4,13,12,18,10,28,19,21,6,5,22,25,71,3,16,21,28,17,22,13,14,9,1,20,64
W_2010_11_3239_3448,W,2010,11,RegularSeason,1,0,1,3448,3239,64,47,17,111,H,0,1,0,0,1,0,,,,,,,22,62,5,15,15,25,19,33,14,22,13,7,19,16,65,4,16,11,18,20,27,9,21,15,4,23,65
W_2010_11_3240_3359,W,2010,11,RegularSeason,1,0,1,3359,3240,59,46,13,105,H,0,1,0,0,1,0,,,,,,,18,53,9,25,14,15,8,27,13,16,10,2,10,18,47,6,13,4,7,4,27,9,21,8,2,14,66
W_2010_11_3245_3352,W,2010,11,RegularSeason,1,0,1,3245,3352,62,57,5,119,A,0,0,1,1,0,0,,,,,,,23,57,5,21,11,19,12,20,17,13,8,3,17,20,44,8,13,9,15,7,28,16,23,3,4,21,67
W_2010_11_3247_3259,W,2010,11,RegularSeason,1,0,1,3259,3247,69,55,14,124,A,0,0,1,1,0,0,,,,,,,25,49,5,10,14,16,7,23,12,21,10,1,17,18,46,3,15,16,20,8,18,7,24,3,1,18,68
W_2010_11_3248_3389,W,2010,11,RegularSeason,1,0,1,3389,3248,61,38,23,99,A,0,0,1,1,0,0,,,,,,,24,51,2,6,11,15,18,28,6,21,5,0,16,11,42,2,8,14,19,7,11,2,20,11,2,16,69
W_2010_11_3250_3252,W,2010,11,RegularSeason,1,0,1,3250,3252,77,60,17,137,A,0,0,1,1,0,0,W13,13.0,W,,,,28,59,9,25,12,17,15,28,11,21,11,1,22,21,58,3,18,15,22,14,18,12,18,6,1,17,70
W_2010_11_3253_3341,W,2010,11,RegularSeason,1,0,1,3253,3341,76,68,8,144,H,0,1,0,0,1,0,,,,,,,25,49,9,18,17,20,6,23,17,20,12,3,16,26,66,3,17,13,14,17,19,10,19,9,0,16,71
W_2010_11_3255_3439,W,2010,11,RegularSeason,1,0,1,3439,3255,77,55,22,132,H,0,1,0,0,1,0,,,,,,,31,77,4,10,11,22,24,29,14,13,9,4,15,21,55,5,19,8,11,6,26,7,21,3,7,19,72
W_2010_11_3258_3374,W,2010,11,RegularSeason,1,0,1,3374,3258,78,58,20,136,H,0,1,0,0,1,0,,,,,,,30,59,7,16,11,18,11,30,18,20,9,1,24,22,63,4,17,10,22,19,23,7,21,6,0,16,73
W_2010_11_3264_3383,W,2010,11,RegularSeason,1,0,1,3264,3383,71,34,37,105,H,0,1,0,0,1,0,,,,,,,27,66,9,21,8,17,20,22,18,19,21,1,19,12,49,2,21,8,14,19,25,3,35,6,6,16,74
W_2010_11_3265_3299,W,2010,11,RegularSeason,1,0,1,3265,3299,80,64,16,144,H,0,1,0,0,1,0,X12,12.0,X,,,,29,60,7,15,15,22,11,29,21,11,9,0,19,22,69,6,22,14,24,25,25,10,16,4,1,19,75
W_2010_11_3273_3328,W,2010,11,RegularSeason,1,0,1,3328,3273,108,66,42,174,H,0,1,0,0,1,0,Y03,3.0,Y,,,,41,80,9,27,17,25,19,37,18,19,9,2,22,20,65,7,26,19,27,12,25,7,20,7,1,22,76
W_2010_11_3274_3415,W,2010,11,RegularSeason,1,0,1,3274,3415,86,63,23,149,A,0,0,1,1,0,0,,,,Z16,16.0,Z,31,61,7,13,17,29,13,32,13,15,17,5,17,22,62,6,17,13,18,12,25,12,22,3,2,20,77
W_2010_11_3279_3368,W,2010,11,RegularSeason,1,0,1,3279,3368,80,42,38,122,H,0,1,0,0,1,0,,,,,,,27,53,10,24,16,17,10,33,24,24,12,2,13,15,56,3,21,9,13,10,15,11,23,9,0,16,78
W_2010_11_3294_3307,W,2010,11,RegularSeason,1,0,1,3307,3294,81,59,22,140,H,0,1,0,0,1,0,,,,,,,26,61,6,17,23,28,14,23,18,10,7,7,22,18,58,2,20,21,26,17,24,9,17,7,2,23,79
W_2010_11_3295_3320,W,2010,11,RegularSeason,1,0,1,3295,3320,64,62,2,126,A,0,0,1,1,0,0,,,,Y16,16.0,Y,23,50,2,8,16,24,11,23,9,16,11,2,12,24,56,7,19,7,7,10,20,13,17,8,4,21,80
W_2010_11_3306_3386,W,2010,11,RegularSeason,1,0,1,3306,3386,64,56,8,120,H,0,1,0,0,1,0,,,,,,,21,47,4,17,18,24,10,30,9,22,5,1,17,18,65,7,29,13,15,14,17,7,14,9,3,19,81
W_2010_11_3315_3453,W,2010,11,RegularSeason,1,0,1,3453,3315,74,56,18,130,A,0,0,1,1,0,0,W12,12.0,W,,,,27,56,8,21,12,13,13,27,23,13,6,0,18,18,58,7,28,13,20,19,17,11,13,8,0,16,82
W_2010_11_3319_3337,W,2010,11,RegularSeason,1,0,1,3337,3319,96,67,29,163,H,0,1,0,0,1,0,,,,,,,28,69,5,16,35,48,20,27,19,20,21,3,29,22,54,6,18,17,27,9,30,12,35,8,3,34,83
W_2010_11_3321_3405,W,2010,11,RegularSeason,1,0,1,3321,3405,73,64,9,137,A,0,0,1,1,0,0,,,,,,,22,51,2,9,27,33,12,27,16,19,11,4,13,26,68,8,25,4,8,18,21,16,18,11,1,22,84
W_2010_11_3330_3390,W,2010,11,RegularSeason,1,0,1,3390,3330,89,56,33,145,A,0,0,1,1,0,0,Z01,1.0,Z,,,,32,65,9,20,16,25,19,33,22,20,11,7,18,21,69,4,16,10,18,19,19,8,21,9,1,20,85
W_2010_11_3331_3410,W,2010,11,RegularSeason,1,0,1,3331,3410,98,65,33,163,H,0,1,0,0,1,0,,,,,,,34,72,8,33,22,28,17,29,22,25,18,2,20,24,70,4,22,13,18,19,25,12,31,12,2,22,86
W_2010_11_3343_3392,W,2010,11,RegularSeason,1,0,1,3343,3392,68,43,25,111,A,0,0,1,1,0,0,W11,11.0,W,,,,24,55,4,12,16,25,17,25,15,18,8,7,17,16,60,3,10,8,13,21,21,7,22,6,3,24,87
W_2010_11_3349_3426,W,2010,11,RegularSeason,1,0,1,3426,3349,81,64,17,145,H,0,1,0,0,1,0,,,,,,,27,64,4,8,23,33,18,33,7,20,15,3,15,24,68,5,20,11,12,12,27,11,20,7,1,28,88
W_2010_11_3350_3441,W,2010,11,RegularSeason,1,0,1,3350,3441,65,42,23,107,H,0,1,0,0,1,0,,,,,,,29,64,5,17,2,3,14,20,10,14,14,3,12,16,44,1,9,9,16,11,22,7,21,10,1,12,89
W_2010_11_3351_3371,W,2010,11,RegularSeason,1,0,1,3371,3351,63,49,14,112,A,0,0,1,1,0,0,,,,,,,21,63,5,13,16,24,20,22,12,13,12,1,19,16,45,3,8,14,18,10,27,10,25,4,2,20,90
W_2010_11_3356_3387,W,2010,11,RegularSeason,1,0,1,3387,3356,71,45,26,116,H,0,1,0,0,1,0,,,,,,,26,50,5,16,14,25,9,31,18,17,7,1,21,14,53,2,12,15,22,14,22,8,18,5,4,21,91
W_2010_11_3361_3414,W,2010,11,RegularSeason,1,0,1,3361,3414,64,42,22,106,A,0,0,1,1,0,0,X11,11.0,X,,,,22,46,2,8,18,24,11,30,13,26,9,7,19,15,58,2,8,10,14,16,16,9,25,9,1,19,92
W_2010_11_3370_3413,W,2010,11,RegularSeason,1,0,1,3413,3370,71,49,22,120,A,0,0,1,1,0,0,,,,,,,24,51,11,20,12,18,9,20,20,19,15,0,15,19,43,6,19,5,10,7,22,16,28,7,1,14,93
W_2010_11_3381_3424,W,2010,11,RegularSeason,1,0,1,3424,3381,61,43,18,104,A,0,0,1,1,0,0,,,,,,,25,63,6,21,5,5,15,24,14,13,11,5,17,14,47,3,18,12,15,12,23,7,20,3,8,10,94
W_2010_11_3400_3427,W,2010,11,RegularSeason,1,0,1,3400,3427,71,60,11,131,H,0,1,0,0,1,0,X06,6.0,X,,,,26,62,3,17,16,24,13,30,14,16,11,6,15,21,67,4,18,14,18,17,26,6,17,8,3,18,95
W_2010_11_3406_3452,W,2010,11,RegularSeason,1,0,1,3452,3406,79,42,37,121,H,0,1,0,0,1,0,X03,3.0,X,,,,28,61,4,13,19,29,22,27,19,16,17,2,18,15,50,4,16,8,23,15,16,4,22,4,3,22,96
W_2010_11_3408_3419,W,2010,11,RegularSeason,1,0,1,3408,3419,86,52,34,138,H,0,1,0,0,1,0,Z12,12.0,Z,,,,35,64,6,12,10,21,12,24,25,13,13,5,20,20,62,1,12,11,18,20,25,11,26,5,0,21,97
W_2010_11_3420_3438,W,2010,11,RegularSeason,1,0,1,3438,3420,68,57,11,125,A,0,0,1,1,0,0,W05,5.0,W,,,,25,71,7,22,11,19,19,28,15,12,15,7,21,19,55,4,19,15,26,14,29,8,21,3,3,18,98
W_2010_11_3425_3462,W,2010,11,RegularSeason,1,0,1,3462,3425,81,71,10,152,A,0,0,1,1,0,1,Z03,3.0,Z,,,,29,73,9,19,14,19,19,27,9,21,7,4,18,25,64,10,30,11,17,13,28,12,24,7,1,18,99
W_2010_11_3428_3429,W,2010,11,RegularSeason,1,0,1,3429,3428,67,58,9,125,H,0,1,0,0,1,0,,,,,,,26,48,7,16,8,14,5,23,13,17,5,3,16,21,55,4,13,12,16,14,22,11,17,10,0,20,100
W_2010_11_3436_3444,W,2010,11,RegularSeason,1,0,1,3436,3444,79,65,14,144,N,1,0,0,0,0,0,Y10,10.0,Y,,,,27,55,7,16,18,21,13,25,14,22,6,4,14,23,58,8,21,11,15,12,17,11,21,6,1,19,101
W_2010_12_3102_3399,W,2010,12,RegularSeason,1,0,1,3399,3102,81,49,32,130,N,1,0,0,0,0,0,,,,,,,29,64,13,31,10,19,15,27,19,7,4,3,26,14,51,1,9,20,29,17,26,5,15,1,0,16,102
W_2010_12_3104_3394,W,2010,12,RegularSeason,1,0,1,3394,3104,96,90,6,186,H,0,1,0,0,1,1,,,,,,,29,79,8,15,30,42,23,29,13,20,9,3,23,33,75,3,17,21,28,18,33,14,22,9,4,31,103
W_2010_12_3112_3233,W,2010,12,RegularSeason,1,0,1,3112,3233,75,70,5,145,A,0,0,1,1,0,1,,,,,,,28,68,9,20,10,18,14,36,14,21,11,6,18,25,81,7,27,13,21,25,32,15,19,9,3,18,104
W_2010_12_3130_3217,W,2010,12,RegularSeason,1,0,1,3217,3130,82,81,1,163,H,0,1,0,0,1,0,,,,,,,28,53,11,22,15,21,7,21,22,13,2,4,12,32,66,6,21,11,13,10,19,14,9,5,0,18,105
W_2010_12_3136_3171,W,2010,12,RegularSeason,1,0,1,3171,3136,57,47,10,104,H,0,1,0,0,1,0,,,,,,,18,57,3,11,18,29,15,34,12,14,9,6,11,16,61,10,26,5,9,13,32,12,18,7,3,22,106
W_2010_12_3137_3275,W,2010,12,RegularSeason,1,0,1,3275,3137,75,54,21,129,N,1,0,0,0,0,0,,,,,,,26,60,5,17,18,23,17,25,13,29,16,1,20,18,54,3,11,15,23,17,21,12,34,13,6,23,107
