GameID,Gender,Season,DayNum,GameType,isRegularSeason,isTourney,HasBoxscore,WTeamID,LTeamID,WScore,LScore,ScoreDiff,TotalScore,WLoc,NeutralSite,WHome,WAway,LHome,LAway,NumOT,WSeed,WSeedNum,WSeedRegion,LSeed,LSeedNum,LSeedRegion,WCoachName,LCoachName,WMasseyMeanRank,WMasseyMedianRank,WMasseyBestRank,WMasseyWorstRank,LMasseyMeanRank,LMasseyMedianRank,LMasseyBestRank,LMasseyWorstRank,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WCoachStartDayNum,WCoachEndDayNum,LCoachStartDayNum,LCoachEndDayNum,WMasseyDayNum,WMasseySystemCount,WMasseyTop10Count,WMasseyTop25Count,WMassey_BOB,WMassey_COL,WMassey_DOK,WMassey_MAS,WMassey_MOR,WMassey_POM,WMassey_RPI,WMassey_SAG,WMassey_WLK,LMasseyDayNum,LMasseySystemCount,LMasseyTop10Count,LMasseyTop25Count,LMassey_BOB,LMassey_COL,LMassey_DOK,LMassey_MAS,LMassey_MOR,LMassey_POM,LMassey_RPI,LMassey_SAG,LMassey_WLK,_row_order,_is_tournament
M_2003_136_1228_1443,M,2003,136,NCAATourney,0,1,1,1228,1443,65,60,5,125,N,1,0,0,0,0,0,Z04,4.0,Z,Z13,13.0,Z,bill_self,dennis_felton,10.5,11.0,4.0,18.0,56.0625,58.0,25.0,77.0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,0.0,154.0,0.0,154.0,133.0,34.0,15.0,34.0,11.0,15.0,,11.0,5.0,5.0,18.0,11.0,10.0,133.0,32.0,0.0,1.0,63.0,53.0,,51.0,59.0,52.0,58.0,60.0,53.0,4626,True
M_2003_136_1242_1429,M,2003,136,NCAATourney,0,1,1,1242,1429,64,61,3,125,N,1,0,0,0,0,0,Z02,2.0,Z,Z15,15.0,Z,roy_williams,stew_morrill,5.970588235294118,5.5,1.0,12.0,90.34375,91.0,51.0,128.0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,0.0,154.0,0.0,154.0,133.0,34.0,31.0,34.0,4.0,7.0,,5.0,2.0,4.0,6.0,4.0,4.0,133.0,32.0,0.0,0.0,93.0,74.0,,96.0,128.0,109.0,79.0,101.0,89.0,4627,True
M_2003_136_1281_1356,M,2003,136,NCAATourney,0,1,1,1281,1356,72,71,1,143,N,1,0,0,0,0,0,Y06,6.0,Y,Y11,11.0,Y,quin_snyder,bruce_weber,22.852941176470587,23.0,10.0,36.0,46.53125,43.5,28.0,92.0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19,0.0,154.0,0.0,154.0,133.0,34.0,1.0,30.0,20.0,24.0,,21.0,24.0,24.0,17.0,22.0,24.0,133.0,32.0,0.0,0.0,45.0,31.0,,33.0,72.0,57.0,34.0,50.0,44.0,4628,True
M_2003_136_1323_1454,M,2003,136,NCAATourney,0,1,1,1323,1454,70,69,1,139,N,1,0,0,0,0,0,Z05,5.0,Z,Z12,12.0,Z,mike_brey,bruce_pearl,22.11764705882353,18.5,11.0,69.0,48.15625,48.5,18.0,87.0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25,0.0,154.0,0.0,154.0,133.0,34.0,0.0,30.0,18.0,22.0,,23.0,36.0,22.0,14.0,17.0,20.0,133.0,32.0,0.0,1.0,59.0,48.0,,38.0,52.0,56.0,45.0,44.0,50.0,4629,True
M_2003_136_1328_1354,M,2003,136,NCAATourney,0,1,1,1328,1354,71,54,17,125,N,1,0,0,0,0,0,W01,1.0,W,W16,16.0,W,kelvin_sampson,cy_alexander,6.117647058823529,5.5,3.0,16.0,209.5625,211.0,121.0,264.0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23,0.0,154.0,0.0,154.0,133.0,34.0,32.0,34.0,3.0,3.0,,4.0,6.0,9.0,3.0,8.0,8.0,133.0,32.0,0.0,0.0,211.0,180.0,,210.0,238.0,230.0,178.0,231.0,205.0,4630,True
M_2003_136_1360_1390,M,2003,136,NCAATourney,0,1,1,1390,1360,77,69,8,146,N,1,0,0,0,0,0,X04,4.0,X,X13,13.0,X,mike_montgomery,brad_holland,24.235294117647054,23.5,16.0,45.0,81.46875,84.5,30.0,100.0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18,0.0,154.0,0.0,154.0,133.0,34.0,0.0,22.0,19.0,17.0,,27.0,25.0,30.0,21.0,29.0,28.0,133.0,32.0,0.0,0.0,87.0,91.0,,85.0,77.0,82.0,82.0,87.0,80.0,4631,True
M_2003_136_1451_1458,M,2003,136,NCAATourney,0,1,1,1458,1451,81,74,7,155,N,1,0,0,0,0,0,Y05,5.0,Y,Y12,12.0,Y,bo_ryan,joe_cravens,19.794117647058822,20.0,12.0,34.0,58.09375,54.0,19.0,119.0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20,0.0,154.0,0.0,154.0,133.0,34.0,0.0,31.0,17.0,21.0,,20.0,15.0,16.0,25.0,19.0,18.0,133.0,32.0,0.0,1.0,51.0,34.0,,53.0,100.0,60.0,41.0,59.0,67.0,4632,True
M_2003_137_1104_1231,M,2003,137,NCAATourney,0,1,1,1231,1104,67,62,5,129,N,1,0,0,0,0,0,Y07,7.0,Y,Y10,10.0,Y,mike_davis,mark_gottfried,41.40625,39.0,34.0,66.0,38.03125,37.0,26.0,60.0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,37.0,39.0,,46.0,34.0,46.0,47.0,41.0,37.0,133.0,32.0,0.0,0.0,35.0,43.0,,41.0,26.0,33.0,38.0,37.0,36.0,4633,True
M_2003_137_1120_1386,M,2003,137,NCAATourney,0,1,1,1120,1386,65,63,2,128,N,1,0,0,0,0,1,W10,10.0,W,W07,7.0,W,cliff_ellis,phil_martelli,43.9375,44.0,32.0,70.0,24.5,24.5,11.0,59.0,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,38.0,44.0,,45.0,44.0,45.0,36.0,43.0,47.0,133.0,32.0,0.0,19.0,29.0,27.0,,22.0,38.0,18.0,27.0,20.0,16.0,4634,True
M_2003_137_1122_1257,M,2003,137,NCAATourney,0,1,1,1257,1122,86,64,22,150,N,1,0,0,0,0,0,W04,4.0,W,W13,13.0,W,rick_pitino,dave_loos,10.029411764705882,9.0,4.0,22.0,94.96875,84.0,46.0,198.0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18,0.0,154.0,0.0,154.0,133.0,34.0,19.0,34.0,7.0,6.0,,14.0,14.0,14.0,11.0,6.0,6.0,133.0,32.0,0.0,0.0,88.0,69.0,,72.0,151.0,123.0,73.0,103.0,77.0,4635,True
M_2003_137_1139_1280,M,2003,137,NCAATourney,0,1,1,1139,1280,47,46,1,93,N,1,0,0,0,0,0,W12,12.0,W,W05,5.0,W,todd_lickliter,rick_stansbury,41.0625,34.5,19.0,126.0,16.647058823529413,16.5,3.0,30.0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13,0.0,154.0,0.0,154.0,133.0,32.0,0.0,4.0,46.0,29.0,,26.0,74.0,51.0,35.0,35.0,29.0,133.0,34.0,7.0,33.0,15.0,25.0,,16.0,8.0,11.0,24.0,16.0,17.0,4636,True
M_2003_137_1160_1277,M,2003,137,NCAATourney,0,1,1,1277,1160,79,64,15,143,N,1,0,0,0,0,0,X07,7.0,X,X10,10.0,X,tom_izzo,ricardo_patton,34.8125,35.0,12.0,50.0,39.84375,40.0,20.0,63.0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19,0.0,154.0,0.0,154.0,133.0,32.0,0.0,4.0,36.0,42.0,,37.0,16.0,25.0,31.0,36.0,35.0,133.0,32.0,0.0,1.0,41.0,45.0,,32.0,30.0,28.0,46.0,33.0,40.0,4637,True
M_2003_137_1190_1448,M,2003,137,NCAATourney,0,1,1,1448,1190,76,73,3,149,N,1,0,0,0,0,0,W02,2.0,W,W15,15.0,W,skip_prosser,ed_dechellis,11.205882352941176,9.0,4.0,40.0,125.59375,124.0,77.0,212.0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20,0.0,154.0,0.0,154.0,133.0,34.0,20.0,32.0,12.0,8.0,,8.0,20.0,12.0,7.0,9.0,9.0,133.0,32.0,0.0,0.0,132.0,120.0,,132.0,149.0,147.0,125.0,133.0,123.0,4638,True
M_2003_137_1196_1358,M,2003,137,NCAATourney,0,1,1,1196,1358,85,55,30,140,N,1,0,0,0,0,0,X02,2.0,X,X15,15.0,X,billy_donovan,bob_marlin,9.823529411764708,10.0,3.0,15.0,116.90625,118.5,63.0,170.0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16,0.0,154.0,0.0,154.0,133.0,34.0,20.0,34.0,10.0,14.0,,9.0,7.0,6.0,15.0,7.0,11.0,133.0,32.0,0.0,0.0,115.0,87.0,,104.0,169.0,134.0,91.0,138.0,102.0,4639,True
M_2003_137_1237_1246,M,2003,137,NCAATourney,0,1,1,1246,1237,95,64,31,159,N,1,0,0,0,0,0,Y01,1.0,Y,Y16,16.0,Y,tubby_smith,ron_hunter,1.2647058823529411,1.0,1.0,7.0,150.09375,152.0,98.0,188.0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15,0.0,154.0,0.0,154.0,133.0,34.0,34.0,34.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,133.0,32.0,0.0,0.0,162.0,148.0,,133.0,145.0,133.0,160.0,162.0,144.0,4640,True
M_2003_137_1261_1345,M,2003,137,NCAATourney,0,1,1,1345,1261,80,56,24,136,N,1,0,0,0,0,0,X09,9.0,X,X08,8.0,X,gene_keady,john_brady,36.84375,34.0,26.0,58.0,26.6875,28.0,5.0,50.0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13,0.0,154.0,0.0,154.0,133.0,32.0,0.0,0.0,30.0,33.0,,47.0,37.0,38.0,30.0,34.0,39.0,133.0,32.0,1.0,10.0,28.0,36.0,,25.0,11.0,21.0,39.0,27.0,30.0,4641,True
M_2003_137_1264_1393,M,2003,137,NCAATourney,0,1,1,1393,1264,76,65,11,141,N,1,0,0,0,0,0,W03,3.0,W,W14,14.0,W,jim_boeheim,bobby_gonzalez,13.088235294117649,12.0,5.0,35.0,61.375,60.0,32.0,96.0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14,0.0,154.0,0.0,154.0,133.0,34.0,15.0,32.0,13.0,9.0,,7.0,21.0,15.0,9.0,12.0,14.0,133.0,32.0,0.0,0.0,66.0,52.0,,61.0,88.0,63.0,55.0,69.0,48.0,4642,True
M_2003_137_1268_1423,M,2003,137,NCAATourney,0,1,1,1268,1423,75,73,2,148,N,1,0,0,0,0,0,X06,6.0,X,X11,11.0,X,gary_williams,brad_brownell,25.88235294117647,27.0,7.0,48.0,52.09375,51.0,29.0,83.0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19,0.0,154.0,0.0,154.0,133.0,34.0,3.0,16.0,27.0,37.0,,28.0,9.0,19.0,37.0,21.0,27.0,133.0,32.0,0.0,0.0,65.0,58.0,,52.0,48.0,47.0,51.0,51.0,41.0,4643,True
M_2003_137_1329_1335,M,2003,137,NCAATourney,0,1,1,1329,1335,77,63,14,140,N,1,0,0,0,0,0,W06,6.0,W,W11,11.0,W,eddie_sutton,fran_dunphy,27.09090909090909,26.0,22.0,42.0,52.5,48.5,34.0,112.0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20,0.0,154.0,0.0,154.0,133.0,33.0,0.0,15.0,23.0,26.0,,29.0,29.0,29.0,22.0,25.0,23.0,133.0,32.0,0.0,0.0,53.0,50.0,,39.0,83.0,43.0,59.0,49.0,46.0,4644,True
M_2003_137_1332_1428,M,2003,137,NCAATourney,0,1,1,1428,1332,60,58,2,118,N,1,0,0,0,0,0,Y09,9.0,Y,Y08,8.0,Y,rick_majerus,ernie_kent,35.1875,31.0,16.0,116.0,35.59375,34.5,11.0,61.0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22,0.0,154.0,0.0,154.0,133.0,32.0,0.0,10.0,25.0,20.0,,35.0,66.0,37.0,16.0,38.0,31.0,133.0,32.0,0.0,1.0,34.0,32.0,,34.0,27.0,42.0,50.0,30.0,43.0,4645,True
M_2003_137_1338_1447,M,2003,137,NCAATourney,0,1,1,1338,1447,87,61,26,148,N,1,0,0,0,0,0,Y02,2.0,Y,Y15,15.0,Y,ben_howland,dereck_whittenburg,3.4411764705882355,3.0,2.0,8.0,158.15625,164.5,73.0,222.0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20,0.0,154.0,0.0,154.0,133.0,34.0,34.0,34.0,6.0,5.0,,2.0,3.0,2.0,8.0,3.0,3.0,133.0,32.0,0.0,0.0,161.0,123.0,,166.0,190.0,188.0,103.0,174.0,148.0,4646,True
M_2003_137_1400_1421,M,2003,137,NCAATourney,0,1,1,1400,1421,82,61,21,143,N,1,0,0,0,0,0,X01,1.0,X,X16b,16.0,X,rick_barnes,eddie_biedenbach,7.205882352941177,6.0,4.0,28.0,240.34375,236.5,184.0,293.0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16,0.0,154.0,0.0,154.0,133.0,34.0,30.0,33.0,5.0,4.0,,6.0,12.0,7.0,4.0,5.0,7.0,133.0,32.0,0.0,0.0,236.0,213.0,,265.0,277.0,273.0,186.0,251.0,237.0,4647,True
M_2003_137_1407_1462,M,2003,137,NCAATourney,0,1,1,1462,1407,71,59,12,130,N,1,0,0,0,0,0,X03,3.0,X,X14,14.0,X,thad_matta,don_maestri,15.676470588235292,15.0,9.0,39.0,72.375,65.5,36.0,128.0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19,0.0,154.0,0.0,154.0,133.0,34.0,1.0,33.0,16.0,16.0,,15.0,19.0,17.0,20.0,13.0,15.0,133.0,32.0,0.0,0.0,85.0,66.0,,60.0,108.0,69.0,66.0,78.0,57.0,4648,True
M_2003_138_1112_1211,M,2003,138,NCAATourney,0,1,1,1112,1211,96,95,1,191,N,1,0,0,0,0,2,Z01,1.0,Z,Z09,9.0,Z,lute_olson,mark_few,2.676470588235294,2.0,1.0,10.0,43.09375,42.0,34.0,72.0,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25,0.0,154.0,0.0,154.0,133.0,34.0,34.0,34.0,2.0,2.0,,3.0,4.0,3.0,2.0,2.0,2.0,133.0,32.0,0.0,0.0,42.0,40.0,,49.0,54.0,41.0,43.0,39.0,38.0,4649,True
M_2003_138_1113_1242,M,2003,138,NCAATourney,0,1,1,1242,1113,108,76,32,184,N,1,0,0,0,0,0,Z02,2.0,Z,Z10,10.0,Z,roy_williams,rob_evans,5.970588235294118,5.5,1.0,12.0,36.0,34.5,22.0,52.0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21,0.0,154.0,0.0,154.0,133.0,34.0,31.0,34.0,4.0,7.0,,5.0,2.0,4.0,6.0,4.0,4.0,133.0,32.0,0.0,2.0,33.0,38.0,,40.0,22.0,32.0,32.0,32.0,34.0,4650,True
M_2003_138_1141_1181,M,2003,138,NCAATourney,0,1,1,1181,1141,86,60,26,146,N,1,0,0,0,0,0,Z03,3.0,Z,Z11,11.0,Z,mike_krzyzewski,jay_smith,10.705882352941176,10.5,4.0,19.0,45.6875,45.0,12.0,97.0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14,0.0,154.0,0.0,154.0,133.0,34.0,17.0,34.0,9.0,11.0,,10.0,10.0,8.0,12.0,10.0,5.0,133.0,32.0,0.0,1.0,49.0,35.0,,36.0,50.0,50.0,44.0,48.0,32.0,4651,True
M_2003_138_1143_1328,M,2003,138,NCAATourney,0,1,1,1328,1143,74,65,9,139,N,1,0,0,0,0,0,W01,1.0,W,W08,8.0,W,kelvin_sampson,ben_braun,6.117647058823529,5.5,3.0,16.0,36.40625,33.5,25.0,62.0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23,0.0,154.0,0.0,154.0,133.0,34.0,32.0,34.0,3.0,3.0,,4.0,6.0,9.0,3.0,8.0,8.0,133.0,32.0,0.0,2.0,32.0,28.0,,30.0,43.0,40.0,33.0,40.0,33.0,4652,True
M_2003_138_1163_1390,M,2003,138,NCAATourney,0,1,1,1163,1390,85,74,11,159,N,1,0,0,0,0,0,X05,5.0,X,X04,4.0,X,jim_calhoun,mike_montgomery,27.5,28.0,7.0,40.0,24.235294117647054,23.5,16.0,45.0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18,0.0,154.0,0.0,154.0,133.0,34.0,1.0,13.0,31.0,30.0,,24.0,17.0,23.0,28.0,23.0,26.0,133.0,34.0,0.0,22.0,19.0,17.0,,27.0,25.0,30.0,21.0,29.0,28.0,4653,True
M_2003_138_1228_1323,M,2003,138,NCAATourney,0,1,1,1323,1228,68,60,8,128,N,1,0,0,0,0,0,Z05,5.0,Z,Z04,4.0,Z,mike_brey,bill_self,22.11764705882353,18.5,11.0,69.0,10.5,11.0,4.0,18.0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10,0.0,154.0,0.0,154.0,133.0,34.0,0.0,30.0,18.0,22.0,,23.0,36.0,22.0,14.0,17.0,20.0,133.0,34.0,15.0,34.0,11.0,15.0,,11.0,5.0,5.0,18.0,11.0,10.0,4654,True
M_2003_138_1266_1281,M,2003,138,NCAATourney,0,1,1,1266,1281,101,92,9,193,N,1,0,0,0,0,1,Y03,3.0,Y,Y06,6.0,Y,tom_crean,quin_snyder,12.823529411764708,10.5,5.0,31.0,22.852941176470587,23.0,10.0,36.0,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17,0.0,154.0,0.0,154.0,133.0,34.0,17.0,33.0,14.0,10.0,,13.0,18.0,13.0,10.0,14.0,13.0,133.0,34.0,1.0,30.0,20.0,24.0,,21.0,24.0,24.0,17.0,22.0,24.0,4655,True
M_2003_138_1409_1458,M,2003,138,NCAATourney,0,1,1,1458,1409,61,60,1,121,N,1,0,0,0,0,0,Y05,5.0,Y,Y13,13.0,Y,bo_ryan,john_phillips,19.794117647058822,20.0,12.0,34.0,57.09375,58.0,26.0,79.0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16,0.0,154.0,0.0,154.0,133.0,34.0,0.0,31.0,17.0,21.0,,20.0,15.0,16.0,25.0,19.0,18.0,133.0,32.0,0.0,0.0,58.0,57.0,,66.0,35.0,53.0,64.0,58.0,55.0,4656,True
